@relation dataObj

@attribute Earliest_PLV_Ch numeric
@attribute Duration_PLV_Pos_ch numeric
@attribute Peak_PLV_ch numeric
@attribute Average_PLV_ch numeric
@attribute Class_resected_channel numeric

@data
0,0,0.066303,0.031921,0
0,0,0.074095,0.033961,1
0,0,0.069531,0.035977,1
0,0,0.051027,0.028848,1
0,0,0.084457,0.055088,1
1,2,0.135446,0.07644,1
0,0,0.086688,0.055886,0
1,1,0.110545,0.047471,1
0,0,0.070127,0.04087,0
0,0,0.052492,0.035237,0
0,0,0.062112,0.029802,0
0,0,0.044645,0.027996,0
0,0,0.059001,0.042348,0
0,0,0.099095,0.063103,0
0,0,0.076166,0.046557,0
0,0,0.06965,0.033075,0
0,0,0.083393,0.038475,0
0,0,0.129977,0.054044,0
0,0,0.095143,0.046525,0
0,0,0.094736,0.047051,0
0,0,0.074839,0.03023,0
0,0,0.076924,0.042718,0
0,0,0.057505,0.029696,0
0,0,0.080376,0.040888,0
0,0,0.060226,0.034898,0
0,0,0.069928,0.034362,0
0,0,0.057161,0.026292,0
0,0,0.049083,0.02865,0
0,0,0.071966,0.037806,0
0,0,0.062927,0.037995,0
0,0,0.065504,0.038388,0
0,0,0.087094,0.039824,0
0,0,0.070697,0.043567,0
0,0,0.068355,0.039918,0
0,0,0.063149,0.024902,0
0,0,0.083803,0.031681,0
0,0,0.055637,0.02801,0
0,0,0.084273,0.047246,0
0,0,0.098966,0.042062,0
0,0,0.060224,0.03798,0
0,0,0.060126,0.033243,0
0,0,0.096884,0.043426,0
0,0,0.066996,0.043915,0
0,0,0.076859,0.038372,0
0,0,0.086196,0.043086,0
0,0,0.087425,0.058104,0
0,0,0.07774,0.049844,1
0,0,0.072172,0.04441,1
0,0,0.067109,0.038637,0
0,0,0.085261,0.041876,1
0,0,0.084604,0.038587,0
0,0,0.058744,0.028631,1
0,0,0.073334,0.03734,0
0,0,0.051926,0.028008,0
0,0,0.063738,0.03448,0
0,0,0.05104,0.02542,0
0,0,0.067178,0.032185,0
0,0,0.079712,0.041206,0
0,0,0.063544,0.030316,0
0,0,0.063344,0.024343,0
0,0,0.080917,0.039991,0
0,0,0.059684,0.034605,1
0,0,0.100071,0.037282,1
0,0,0.058677,0.030997,1
0,0,0.097155,0.044243,1
0,0,0.073995,0.043803,0
0,0,0.089109,0.051534,0
0,0,0.074868,0.03702,0
0,0,0.063192,0.036585,0
0,0,0.06888,0.03369,0
0,0,0.051104,0.035185,0
0,0,0.061906,0.028315,0
0,0,0.047783,0.02423,0
0,0,0.061626,0.031891,0
0,0,0.110821,0.033152,0
0,0,0.075223,0.041677,0
0,0,0.081804,0.033267,0
0,0,0.083558,0.055948,1
0,0,0.087487,0.034028,1
0,0,0.047778,0.026124,1
0,0,0.112132,0.053466,0
0,0,0.064337,0.035428,0
0,0,0.062242,0.028893,0
0,0,0.062872,0.033926,0
0,0,0.067124,0.032951,0
0,0,0.088128,0.048086,0
0,0,0.048102,0.028884,0
0,0,0.062491,0.034796,0
0,0,0.061189,0.027576,0
0,0,0.052925,0.037426,0
0,0,0.042526,0.022942,0
0,0,0.08629,0.051201,0
0,0,0.067164,0.039651,1
0,0,0.074264,0.034745,1
0,0,0.05521,0.028254,0
0,0,0.07205,0.042863,1
0,0,0.055632,0.038484,0
0,0,0.080862,0.042626,0
0,0,0.068757,0.037065,0
0,0,0.084111,0.035812,1
0,0,0.071509,0.032062,1
0,0,0.05036,0.030836,1
0,0,0.054138,0.031077,0
0,0,0.059854,0.024906,0
0,0,0.067788,0.036383,0
0,0,0.050692,0.02636,0
0,0,0.052062,0.030762,0
0,0,0.071931,0.038493,0
0,0,0.070069,0.036735,0
0,0,0.087722,0.053251,0
0,0,0.075413,0.044242,0
0,0,0.073681,0.03591,0
0,0,0.083008,0.053635,0
0,0,0.083379,0.042757,0
0,0,0.086324,0.042469,0
0,0,0.083845,0.042761,0
0,0,0.103881,0.05768,0
1,5,0.173907,0.074967,0
1,1,0.212129,0.087424,0
0,0,0.061778,0.033004,0
0,0,0.099909,0.053015,0
0,0,0.090573,0.034649,0
0,0,0.074899,0.04085,0
0,0,0.05297,0.026666,0
0,0,0.070438,0.037723,0
0,0,0.052657,0.028159,0
0,0,0.060456,0.037828,0
0,0,0.056994,0.041687,0
0,0,0.06422,0.040041,0
0,0,0.062792,0.03416,0
0,0,0.063757,0.039762,0
0,0,0.065534,0.028242,0
0,0,0.043975,0.022743,0
0,0,0.060417,0.028451,0
0,0,0.05921,0.038781,0
0,0,0.067573,0.039028,0
0,0,0.064874,0.027837,0
0,0,0.072889,0.036316,0
0,0,0.043948,0.019652,0
0,0,0.057146,0.030915,0
0,0,0.051777,0.029776,0
0,0,0.060198,0.031878,0
0,0,0.047741,0.024917,0
0,0,0.071426,0.027981,1
0,0,0.061788,0.027718,1
0,0,0.05555,0.030658,1
0,0,0.056374,0.02845,1
0,0,0.057631,0.030215,1
0,0,0.064144,0.045965,1
0,0,0.06289,0.036098,1
0,0,0.103984,0.046386,1
0,0,0.071358,0.038817,1
0,0,0.084887,0.053084,1
0,0,0.060003,0.035424,1
0,0,0.066048,0.030321,1
0,0,0.091552,0.042721,0
0,0,0.110971,0.052666,0
0,0,0.076379,0.047434,0
